x,y,distance,correlation_function
7.504577357765148e-13,7.504577357765148e-13,1.0613075079229518e-12,7.331645361099913e-22
0.7580381169467174,7.504577357765148e-13,0.7580381169467174,1.3081120791903185e-24
1.5160762338926843,7.504577357765148e-13,1.5160762338926843,5.672782594535092e-26
2.2741143508386514,7.504577357765148e-13,2.2741143508386514,2.808275422428743e-27
3.032152467784618,7.504577357765148e-13,3.032152467784618,1.4699276474357405e-28
3.790190584730585,7.504577357765148e-13,3.790190584730585,7.935934543564646e-30
4.548228701676552,7.504577357765148e-13,4.548228701676552,4.3699181928767015e-31
5.306266818622519,7.504577357765148e-13,5.306266818622519,2.4394762655768325e-32
6.064304935568486,7.504577357765148e-13,6.064304935568486,1.3755942121365863e-33
6.822343052514452,7.504577357765148e-13,6.822343052514452,7.816851350291719e-35
7.580381169460419,7.504577357765148e-13,7.580381169460419,4.46910106974668e-36
8.338419286406385,7.504577357765148e-13,8.338419286406385,2.5677564037417165e-37
9.096457403352353,7.504577357765148e-13,9.096457403352353,1.4813633311281986e-38
9.85449552029832,7.504577357765148e-13,9.85449552029832,8.575530867453486e-40
10.612533637244287,7.504577357765148e-13,10.612533637244287,4.978885581954788e-41
11.370571754190253,7.504577357765148e-13,11.370571754190253,2.898013246978791e-42
12.12860987113622,7.504577357765148e-13,12.12860987113622,1.6905371785909306e-43
12.886647988082187,7.504577357765148e-13,12.886647988082187,9.880747694870546e-45
13.644686105028153,7.504577357765148e-13,13.644686105028153,5.7849540743945746e-46
14.40272422197412,7.504577357765148e-13,14.40272422197412,3.392148123075314e-47
15.160762338920087,7.504577357765148e-13,15.160762338920087,1.9918037901311094e-48
15.918800455866055,7.504577357765148e-13,15.918800455866055,1.171000635334412e-49
16.67683857281202,7.504577357765148e-13,16.67683857281202,6.892179567197129e-51
17.43487668975799,7.504577357765148e-13,17.43487668975799,4.060706505399631e-52
18.192914806703957,7.504577357765148e-13,18.192914806703957,2.3947180225567765e-53
18.950952923649922,7.504577357765148e-13,18.950952923649922,1.4134542096824328e-54
19.70899104059589,7.504577357765148e-13,19.70899104059589,8.349383177889843e-56
20.467029157541855,7.504577357765148e-13,20.467029157541855,4.9356726148552084e-57
21.225067274487824,7.504577357765148e-13,21.225067274487824,2.9196745471482e-58
21.98310539143379,7.504577357765148e-13,21.98310539143379,1.7282157669153148e-59
22.741143508379757,7.504577357765148e-13,22.741143508379757,1.0235717216911496e-60
23.499181625325722,7.504577357765148e-13,23.499181625325722,6.065667444332657e-62
24.25721974227169,7.504577357765148e-13,24.25721974227169,3.596364595563579e-63
25.01525785921766,7.504577357765148e-13,25.01525785921766,2.1333387961820836e-64
25.773295976163624,7.504577357765148e-13,25.773295976163624,1.266060274451979e-65
26.531334093109592,7.504577357765148e-13,26.531334093109592,7.516850081634054e-67
27.289372210055557,7.504577357765148e-13,27.289372210055557,4.464716034921501e-68
28.047410327001526,7.504577357765148e-13,28.047410327001526,2.652886044920799e-69
28.80544844394749,7.504577357765148e-13,28.80544844394749,1.5768895350274873e-70
29.56348656089346,7.504577357765148e-13,29.56348656089346,9.376347247582701e-72
30.321524677839424,7.504577357765148e-13,30.321524677839424,5.57709785373221e-73
31.079562794785392,7.504577357765148e-13,31.079562794785392,3.3183180500938703e-74
31.83760091173136,7.504577357765148e-13,31.83760091173136,1.9749514153771154e-75
32.59563902867733,7.504577357765148e-13,32.59563902867733,1.1757566451880581e-76
33.353677145623294,7.504577357765148e-13,33.353677145623294,7.001570391988749e-78
34.11171526256926,7.504577357765148e-13,34.11171526256926,4.1704721008231314e-79
34.86975337951523,7.504577357765148e-13,34.86975337951523,2.484744977248543e-80
35.6277914964612,7.504577357765148e-13,35.6277914964612,1.4807463665833153e-81
36.38582961340717,7.504577357765148e-13,36.38582961340717,8.826275619621769e-83
37.14386773035313,7.504577357765148e-13,37.14386773035313,5.262210504442403e-84
37.9019058472991,7.504577357765148e-13,37.9019058472991,3.137972139404749e-85
38.659943964245066,7.504577357765148e-13,38.659943964245066,1.8716150112333445e-86
39.417982081191035,7.504577357765148e-13,39.417982081191035,1.1165217043940719e-87
40.176020198136996,7.504577357765148e-13,40.176020198136996,6.661896307021929e-89
40.934058315082964,7.504577357765148e-13,40.934058315082964,3.9756269694977065e-90
41.69209643202893,7.504577357765148e-13,41.69209643202893,2.3729447401388975e-91
42.4501345489749,7.504577357765148e-13,42.4501345489749,1.4165802655282247e-92
43.20817266592087,7.504577357765148e-13,43.20817266592087,8.457924153486833e-94
43.96621078286683,7.504577357765148e-13,43.96621078286683,5.050716870635394e-95
44.7242488998128,7.504577357765148e-13,44.7242488998128,3.0165228884650166e-96
45.48228701675877,7.504577357765148e-13,45.48228701675877,1.801865745679847e-97
46.24032513370474,7.504577357765148e-13,46.24032513370474,1.0764612060010781e-98
46.9983632506507,7.504577357765148e-13,46.9983632506507,6.43180002890245e-100
47.756401367596666,7.504577357765148e-13,47.756401367596666,3.843465790602137e-101
48.514439484542635,7.504577357765148e-13,48.514439484542635,2.2970374241980036e-102
49.2724776014886,7.504577357765148e-13,49.2724776014886,1.3729856452887936e-103
50.03051571843457,7.504577357765148e-13,50.03051571843457,8.207581136370795e-105
50.78855383538053,7.504577357765148e-13,50.78855383538053,4.906977822384243e-106
51.5465919523265,7.504577357765148e-13,51.5465919523265,2.934007750202838e-107
52.30463006927247,7.504577357765148e-13,52.30463006927247,1.75450763425077e-108
53.06266818621844,7.504577357765148e-13,53.06266818621844,1.049288143247997e-109
53.8207063031644,7.504577357765148e-13,53.8207063031644,6.275935579934143e-111
