kx,ky,norm,spectrum
0.013325200771836652,0.013325200771836652,0.01884467965287583,1.4078664582298896e-18
0.0184538889450037,0.013325200771836652,0.0227619637290873,1.407864754823613e-18
0.025556539299151682,0.013325200771836652,0.02882182639179621,1.4078614878547693e-18
0.035392902975387074,0.013325200771836652,0.03781823047995397,1.4078552221441246e-18
0.04901514897467922,0.013325200771836652,0.05079415128358533,1.4078432052294375e-18
0.06788041180687363,0.013325200771836652,0.06917594439312343,1.4078201584394572e-18
0.09400665719594305,0.013325200771836652,0.09494636682235559,1.4077759588757713e-18
0.13018853837095729,0.013325200771836652,0.13086869946162058,1.4076911958443992e-18
0.18029633250162708,0.013325200771836652,0.18078807618077863,1.4075286565148317e-18
0.24968993369380155,0.013325200771836652,0.2500452438332406,1.4072170256725998e-18
0.3457921862467856,0.013325200771836652,0.34604883621382315,1.4066197316399075e-18
0.47888288606766527,0.013325200771836652,0.47906824100967726,1.405475592912736e-18
0.6631983824088742,0.013325200771836652,0.663332236066782,1.4032864375137855e-18
0.9184544013285121,0.013325200771836652,0.9185510591661877,1.3991068593469946e-18
1.2719549831465753,0.013325200771836652,1.272024779682776,1.3911600734629605e-18
1.7615131211862156,0.013325200771836652,1.7615635205937972,1.3761687286418285e-18
2.439495514562274,0.013325200771836652,2.439531907261117,1.3483024424637014e-18
3.3784240911937773,0.013325200771836652,3.378450369760389,1.2978971689285714e-18
4.678733480682994,0.013325200771836652,4.678752455969391,1.2110643019866137e-18
6.479514232782098,0.013325200771836652,6.47952793448731,1.0733403169031952e-18
8.973390954232555,0.013325200771836652,8.973400847977219,8.811539950002472e-19
12.427126837705726,0.013325200771836652,12.42713398179168,6.5590832212176265e-19
17.2101585931217,0.013325200771836652,17.210163751730438,4.401279712850468e-19
23.834114085141398,0.013325200771836652,23.834117810074517,2.698593771648193e-19
33.00753977075904,0.013325200771836652,33.007542460462204,1.549165796744667e-19
45.71169198176544,0.013325200771836652,45.711693923948765,8.526390915439867e-20
63.305499238901554,0.013325200771836652,63.30550064131506,4.578371964534501e-20
87.67092313023997,0.013325200771836652,87.67092414289598,2.424908186936441e-20
121.41426661058928,0.013325200771836652,121.41426734180885,1.2748582769233073e-20
168.14496312178744,0.013325200771836652,168.14496364978712,6.676054503455921e-21
232.86166784588858,0.013325200771836652,232.86166822714708,3.488818216758228e-21
322.4869502198183,0.013325200771836652,322.48695049511775,1.8212327094487335e-21
446.60778231180035,0.013325200771836652,446.6077825105889,9.501805206064643e-22
618.5010310820534,0.013325200771836652,618.5010312255947,4.955849898844557e-22
856.553648638595,0.013325200771836652,856.5536487422434,2.584419647333538e-22
1186.229474367285,0.013325200771836652,1186.2294744421276,1.3476369444910967e-22
1642.7930323969724,0.013325200771836652,1642.7930324510148,7.026912117330738e-23
2275.0816815873786,0.013325200771836652,2275.081681626402,3.6639253246485886e-23
3150.7296146382187,0.013325200771836652,3150.729614666396,1.91039749563448e-23
4363.402503259535,0.013325200771836652,4363.402503279882,9.960893064833642e-24
6042.816659670046,0.013325200771836652,6042.816659684738,5.193635486101599e-24
8368.614436808886,0.013325200771836652,8368.614436819495,2.7079706280107263e-24
11589.580080986652,0.013325200771836652,11589.580080994312,1.4119394295909753e-24
16050.251504336298,0.013325200771836652,16050.25150434183,7.361867421613029e-25
22227.774565799373,0.013325200771836652,22227.774565803367,3.8384847357779376e-25
30782.942062590886,0.013325200771836652,30782.942062593767,2.0013893837273858e-25
42630.87693388937,0.013325200771836652,42630.87693389146,1.0435261544246543e-25
59038.920466312746,0.013325200771836652,59038.920466314245,5.44095421092787e-26
81762.19633560325,0.013325200771836652,81762.19633560434,2.836918087512465e-26
113231.35140040713,0.013325200771836652,113231.35140040792,1.47917145633122e-26
156812.55536893423,0.013325200771836652,156812.55536893482,7.712412271459417e-27
217167.57079388437,0.013325200771836652,217167.57079388478,4.021258160923817e-27
300752.4091011643,0.013325200771836652,300752.4091011646,2.0966873407854005e-27
416507.9125280775,0.013325200771836652,416507.9125280777,1.0932145179939958e-27
576816.1316378454,0.013325200771836652,576816.1316378455,5.700029559449493e-28
798824.7995053872,0.013325200771836652,798824.7995053872,2.9720001370060462e-28
1106281.5779664528,0.013325200771836652,1106281.577966453,1.5496033347340151e-28
1532074.2802498506,0.013325200771836652,1532074.2802498506,8.07964463032953e-29
2121748.7906810977,0.013325200771836652,2121748.7906810977,4.212733406267549e-29
2938380.9837356745,0.013325200771836652,2938380.9837356745,2.1965226890615017e-29
4069323.778338462,0.013325200771836652,4069323.778338462,1.1452687500519684e-29
5635551.041409965,0.013325200771836652,5635551.041409965,5.97144074966941e-30
7804597.832543217,0.013325200771836652,7804597.832543217,3.1135141509020205e-30
10808481.172499228,0.013325200771836652,10808481.172499228,1.6233888536506427e-30
14968518.271261469,0.013325200771836652,14968518.271261469,8.464362886467121e-31
20729696.953830205,0.013325200771836652,20729696.953830205,4.413325773150623e-31
28708274.79448445,0.013325200771836652,28708274.79448445,2.301111664767069e-31
39757698.5091118,0.013325200771836652,39757698.5091118,1.1998014780526329e-31
55059894.8232555,0.013325200771836652,55059894.8232555,6.255774339338166e-32
76251697.95110668,0.013325200771836652,76251697.95110668,3.261765414133906e-32
105599937.28812924,0.013325200771836652,105599937.28812924,1.7006866790981086e-32
146243913.970378,0.013325200771836652,146243913.970378,8.867389328288534e-33
202531203.35687476,0.013325200771836652,202531203.35687476,4.623459033250543e-33
280482703.31093717,0.013325200771836652,280482703.31093717,2.4106702600649257e-33
388436673.2270269,0.013325200771836652,388436673.2270269,1.2569203597983172e-33
