spectrum,space
(4.222168195715084e-28+0j),0.1
(-1.5288498498976578e-40+1.9828770589470766e-40j),1.100900900900901
(-4.2714612459945226e-41+1.316058550738314e-40j),2.101801801801802
(-1.891432706290292e-41+9.174185109089864e-41j),3.1027027027027025
(-1.03308071113428e-41+6.985587223277943e-41j),4.103603603603603
(-6.314680509654051e-42+5.627401081545129e-41j),5.104504504504504
(-4.11897993369231e-42+4.706917828479023e-41j),6.1054054054054046
(-2.7951038672931496e-42+4.0435226908969877e-41j),7.106306306306306
(-1.9287940091887054e-42+3.543503121477266e-41j),8.107207207207207
(-1.3414569113537695e-42+3.152553681753013e-41j),9.108108108108107
(-9.1669666885332e-43+2.838984152102778e-41j),10.109009009009009
(-6.02597281454424e-43+2.582041962062685e-41j),11.10990990990991
(-3.630839379722193e-43+2.3676277971400745e-41j),12.11081081081081
(-1.7676251285829709e-43+2.1857848213316495e-41j),13.111711711711711
(-2.922059055013944e-44+2.0301022549986635e-41j),14.112612612612612
(9.033869185717352e-44+1.8951202915961752e-41j),15.113513513513514
(1.8412450683352284e-43+1.7764021847348283e-41j),16.114414414414416
(2.6774389771550008e-43+1.6723883678302652e-41j),17.115315315315318
(3.329482127062663e-43+1.5792584989168678e-41j),18.116216216216216
(3.929250467884735e-43+1.4960992584508819e-41j),19.117117117117118
(4.428612866346656e-43+1.421005977733716e-41j),20.11801801801802
(4.837779714483086e-43+1.3535508506642836e-41j),21.11891891891892
(5.226109608929054e-43+1.291857306378418e-41j),22.11981981981982
(5.527037397744945e-43+1.235684479758089e-41j),23.120720720720723
(5.784680011059465e-43+1.1841714904637372e-41j),24.12162162162162
(6.034224456650712e-43+1.136478650861768e-41j),25.122522522522523
(6.245048501312897e-43+1.0925979093383666e-41j),26.123423423423425
(6.452229613381737e-43+1.0520520910407862e-41j),27.124324324324327
(6.654675075046107e-43+1.013769955463076e-41j),28.125225225225226
(6.808154905938069e-43+9.79136079459257e-42j),29.126126126126128
(6.918852281457526e-43+9.462249993930402e-42j),30.12702702702703
(7.045258112903182e-43+9.155562154034947e-42j),31.127927927927928
(7.214341007744392e-43+8.867096479410938e-42j),32.12882882882883
(7.28985880774523e-43+8.599366666560916e-42j),33.12972972972973
(7.379745716219822e-43+8.344850939612991e-42j),34.130630630630634
(7.45202206787602e-43+8.103688217095736e-42j),35.131531531531536
